congress,session,chamber,period,total_votes,missed_votes,percent,percentile,period_start,period_end,pctile25,pctile50,pctile75,pctile90
112,2012,h,3,50,0,0.0,0.0,2012-11-13,2012-12-31,0.0,1.96078431373,5.88235294118,13.7254901961
112,2012,h,4,5,0,0.0,0.0,2013-01-01,2013-01-01,0.0,0.0,0.0,0.0
113,2013,h,0,69,1,1.44927536232,46.6512702079,2013-01-03,2013-03-13,0.0,1.44927536232,2.89855072464,8.69565217391
lifetime,,h,,124,1,0.806451612903,18.9376443418,2012-11-15,2013-03-13,1.02390967456,2.13215520553,3.98518518519,5.86702663148
