congress,session,chamber,period,total_votes,missed_votes,percent,percentile,period_start,period_end,pctile25,pctile50,pctile75,pctile90
112,2011,h,0,212,8,3.77358490566,85.269121813,2011-01-05,2011-03-31,0.0,0.943396226415,2.35849056604,4.71698113208
112,2011,h,1,281,5,1.7793594306,58.3569405099,2011-04-01,2011-06-24,0.355871886121,1.06761565836,2.84697508897,6.69039145907
112,2011,h,2,247,4,1.61943319838,55.0847457627,2011-07-06,2011-09-23,0.404858299595,1.21457489879,2.83400809717,7.28744939271
112,2011,h,3,208,9,4.32692307692,72.8813559322,2011-10-03,2011-12-20,0.480769230769,1.44230769231,4.32692307692,8.17307692308
112,2012,h,0,151,2,1.32450331126,42.8169014085,2012-01-17,2012-03-29,0.662251655629,1.32450331126,3.31125827815,9.00662251656
112,2012,h,1,299,5,1.67224080268,53.0898876404,2012-04-16,2012-06-29,0.334448160535,1.33779264214,4.01337792642,9.36454849498
112,2012,h,2,152,26,17.1052631579,96.9014084507,2012-07-09,2012-09-21,0.0,1.31578947368,3.28947368421,8.55263157895
112,2012,h,3,51,3,5.88235294118,67.8770949721,2012-11-13,2012-12-31,0.0,1.96078431373,5.88235294118,13.7254901961
112,2012,h,4,5,1,20.0,94.9860724234,2013-01-01,2013-01-01,0.0,0.0,0.0,0.0
113,2013,h,0,69,9,13.0434782609,93.3025404157,2013-01-03,2013-03-13,0.0,1.44927536232,2.89855072464,8.69565217391
lifetime,,h,,1675,72,4.29850746269,78.0600461894,2011-01-05,2013-03-13,1.02390967456,2.13215520553,3.98518518519,5.86702663148
