congress,session,chamber,period,total_votes,missed_votes,percent,percentile,period_start,period_end,pctile25,pctile50,pctile75,pctile90
112,2012,h,3,49,1,2.04081632653,52.5139664804,2012-11-13,2012-12-31,0.0,1.96078431373,5.88235294118,13.7254901961
112,2012,h,4,5,0,0.0,0.0,2013-01-01,2013-01-01,0.0,0.0,0.0,0.0
113,2013,h,0,72,0,0.0,0.0,2013-01-03,2013-03-14,0.0,1.38888888889,4.16666666667,8.33333333333
lifetime,,h,,126,1,0.793650793651,19.168591224,2012-11-15,2013-03-14,1.02373969343,2.13092724131,3.98429978523,5.86552104074
