congress,session,chamber,period,total_votes,missed_votes,percent,percentile,period_start,period_end,pctile25,pctile50,pctile75,pctile90
112,2012,h,1,70,0,0.0,0.0,2012-04-16,2012-06-29,0.334448160535,1.33779264214,4.01337792642,9.36454849498
112,2012,h,2,152,0,0.0,0.0,2012-07-09,2012-09-21,0.0,1.31578947368,3.28947368421,8.55263157895
112,2012,h,3,51,7,13.7254901961,89.3854748603,2012-11-13,2012-12-31,0.0,1.96078431373,5.88235294118,13.7254901961
112,2012,h,4,5,0,0.0,0.0,2013-01-01,2013-01-01,0.0,0.0,0.0,0.0
113,2013,h,0,72,2,2.77777777778,63.5103926097,2013-01-03,2013-03-14,0.0,1.38888888889,4.16666666667,8.33333333333
lifetime,,h,,350,9,2.57142857143,57.5057736721,2012-06-19,2013-03-14,1.02373969343,2.13092724131,3.98429978523,5.86552104074
