congress,session,chamber,period,total_votes,missed_votes,percent,percentile,period_start,period_end,pctile25,pctile50,pctile75,pctile90
104,1995,h,0,279,12,4.30107526882,83.6538461538,1995-01-04,1995-03-30,0.358422939068,1.0752688172,2.86738351254,5.73476702509
104,1995,h,1,189,4,2.1164021164,51.9230769231,1995-04-03,1995-06-30,0.529100529101,1.5873015873,3.83597883598,7.40740740741
104,1995,h,2,232,7,3.01724137931,69.2307692308,1995-07-10,1995-09-29,0.431034482759,1.29310344828,3.01724137931,6.20689655172
104,1995,h,3,185,10,5.40540540541,80.7692307692,1995-10-11,1995-12-22,0.540540540541,1.35135135135,3.78378378378,7.24324324324
104,1996,h,0,110,27,24.5454545455,96.1538461538,1996-01-03,1996-03-29,0.0,1.81818181818,4.77272727273,9.09090909091
104,1996,h,1,182,15,8.24175824176,91.4285714286,1996-04-15,1996-06-28,0.549450549451,2.1978021978,3.84615384615,6.92307692308
104,1996,h,2,163,3,1.84049079755,45.7142857143,1996-07-10,1996-09-28,0.613496932515,1.84049079755,4.29447852761,7.11656441718
113,2013,h,0,72,0,0.0,0.0,2013-01-03,2013-03-14,0.0,1.38888888889,4.16666666667,8.33333333333
lifetime,,h,,1412,78,5.52407932011,87.2979214781,1995-01-04,2013-03-14,1.02373969343,2.13092724131,3.98429978523,5.86552104074
