congress,session,chamber,period,total_votes,missed_votes,percent,percentile,period_start,period_end,pctile25,pctile50,pctile75,pctile90
103,1993,h,1,166,8,4.81927710843,64.367816092,1993-04-01,1993-06-30,1.05263157895,3.15789473684,7.10526315789,11.7894736842
103,1993,h,2,164,0,0.0,0.0,1993-07-01,1993-09-30,0.0,1.21951219512,3.65853658537,6.70731707317
103,1993,h,3,134,1,0.746268656716,21.8390804598,1993-10-06,1993-11-22,0.746268656716,1.49253731343,3.73134328358,6.71641791045
103,1994,h,0,95,11,11.5789473684,90.8045977011,1994-01-25,1994-03-24,1.05263157895,2.10526315789,5.26315789474,9.89473684211
103,1994,h,1,219,5,2.28310502283,48.8636363636,1994-04-12,1994-06-29,0.456621004566,2.28310502283,4.56621004566,7.76255707763
103,1994,h,2,142,6,4.22535211268,61.3636363636,1994-07-12,1994-09-30,0.704225352113,2.81690140845,5.80985915493,12.8873239437
103,1994,h,3,51,0,0.0,0.0,1994-10-03,1994-11-29,0.0,1.96078431373,3.92156862745,11.7647058824
104,1995,h,0,279,4,1.43369175627,55.7692307692,1995-01-04,1995-03-30,0.358422939068,1.0752688172,2.86738351254,5.73476702509
104,1995,h,1,189,2,1.0582010582,29.8076923077,1995-04-03,1995-06-30,0.529100529101,1.5873015873,3.83597883598,7.40740740741
104,1995,h,2,232,0,0.0,0.0,1995-07-10,1995-09-29,0.431034482759,1.29310344828,3.01724137931,6.20689655172
104,1995,h,3,185,5,2.7027027027,61.5384615385,1995-10-11,1995-12-22,0.540540540541,1.35135135135,3.78378378378,7.24324324324
104,1996,h,0,110,3,2.72727272727,53.8461538462,1996-01-03,1996-03-29,0.0,1.81818181818,4.77272727273,9.09090909091
104,1996,h,1,182,6,3.2967032967,59.0476190476,1996-04-15,1996-06-28,0.549450549451,2.1978021978,3.84615384615,6.92307692308
104,1996,h,2,163,9,5.52147239264,80.9523809524,1996-07-10,1996-09-28,0.613496932515,1.84049079755,4.29447852761,7.11656441718
105,1997,h,0,71,1,1.40845070423,40.3225806452,1997-01-07,1997-03-21,0.0,1.40845070423,5.6338028169,9.43661971831
105,1997,h,1,174,1,0.574712643678,18.5483870968,1997-04-08,1997-06-26,0.574712643678,1.72413793103,4.02298850575,6.32183908046
105,1997,h,2,232,5,2.15517241379,57.2580645161,1997-07-08,1997-09-30,0.431034482759,1.50862068966,3.87931034483,6.76724137931
105,1997,h,3,163,14,8.58895705521,89.5161290323,1997-10-01,1997-11-13,0.613496932515,1.84049079755,4.29447852761,8.40490797546
105,1998,h,0,89,1,1.12359550562,27.7777777778,1998-01-27,1998-03-31,0.0,2.24719101124,5.61797752809,13.4831460674
105,1998,h,1,185,6,3.24324324324,65.625,1998-04-01,1998-06-25,0.540540540541,1.93822393822,4.86486486486,9.35135135135
105,1998,h,2,199,0,0.0,0.0,1998-07-14,1998-09-28,0.502512562814,2.01005025126,4.52261306533,7.68844221106
105,1998,h,3,74,1,1.35135135135,39.84375,1998-10-01,1998-12-19,0.0,1.35135135135,4.39189189189,7.16216216216
106,1999,h,0,77,0,0.0,0.0,1999-01-06,1999-03-25,0.0,1.2987012987,3.8961038961,7.79220779221
106,1999,h,1,184,2,1.08695652174,29.1666666667,1999-04-12,1999-06-30,0.54347826087,1.63043478261,4.34782608696,7.60869565217
106,1999,h,2,204,3,1.47058823529,47.9166666667,1999-07-01,1999-09-30,0.0,1.47058823529,2.45098039216,5.88235294118
106,1999,h,3,146,1,0.684931506849,21.5277777778,1999-10-01,1999-11-18,0.684931506849,2.05479452055,4.79452054795,9.58904109589
106,2000,h,0,95,1,1.05263157895,22.2222222222,2000-01-27,2000-03-30,1.05263157895,3.15789473684,7.36842105263,15.4736842105
106,2000,h,1,277,1,0.361010830325,14.5833333333,2000-04-03,2000-06-30,0.361010830325,2.52707581227,4.69314079422,10.0
106,2000,h,2,130,0,0.0,0.0,2000-07-10,2000-09-28,0.0,1.53846153846,3.84615384615,7.69230769231
106,2000,h,3,101,8,7.92079207921,55.5555555556,2000-10-02,2000-12-15,1.9801980198,6.93069306931,11.8811881188,22.4752475248
107,2001,h,0,75,6,8.0,90.0,2001-01-03,2001-03-29,0.0,1.33333333333,4.0,6.96438356164
107,2001,h,1,135,2,1.48148148148,33.950617284,2001-04-03,2001-06-28,0.740740740741,2.22222222222,4.25925925926,8.07407407407
107,2001,h,2,149,3,2.01342281879,52.4691358025,2001-07-10,2001-09-25,0.671140939597,1.34228187919,3.35570469799,6.71140939597
107,2001,h,3,153,2,1.30718954248,36.7469879518,2001-10-02,2001-12-20,0.653594771242,1.96078431373,4.57516339869,7.18954248366
