congress,session,chamber,period,total_votes,missed_votes,percent,percentile,period_start,period_end,pctile25,pctile50,pctile75,pctile90
104,1995,h,0,279,11,3.94265232975,81.7307692308,1995-01-04,1995-03-30,0.358422939068,1.0752688172,2.86738351254,5.73476702509
104,1995,h,1,189,12,6.34920634921,86.5384615385,1995-04-03,1995-06-30,0.529100529101,1.5873015873,3.83597883598,7.40740740741
104,1995,h,2,232,8,3.44827586207,76.9230769231,1995-07-10,1995-09-29,0.431034482759,1.29310344828,3.01724137931,6.20689655172
104,1995,h,3,185,1,0.540540540541,23.0769230769,1995-10-11,1995-12-22,0.540540540541,1.35135135135,3.78378378378,7.24324324324
104,1996,h,0,110,1,0.909090909091,30.7692307692,1996-01-03,1996-03-29,0.0,1.81818181818,4.77272727273,9.09090909091
104,1996,h,1,182,4,2.1978021978,44.7619047619,1996-04-15,1996-06-28,0.549450549451,2.1978021978,3.84615384615,6.92307692308
104,1996,h,2,163,5,3.06748466258,60.0,1996-07-10,1996-09-28,0.613496932515,1.84049079755,4.29447852761,7.11656441718
105,1997,h,0,71,1,1.40845070423,40.3225806452,1997-01-07,1997-03-21,0.0,1.40845070423,5.6338028169,9.43661971831
105,1997,h,1,174,9,5.1724137931,81.4516129032,1997-04-08,1997-06-26,0.574712643678,1.72413793103,4.02298850575,6.32183908046
105,1997,h,2,232,14,6.03448275862,85.4838709677,1997-07-08,1997-09-30,0.431034482759,1.50862068966,3.87931034483,6.76724137931
105,1997,h,3,163,19,11.6564417178,95.9677419355,1997-10-01,1997-11-13,0.613496932515,1.84049079755,4.29447852761,8.40490797546
105,1998,h,0,89,3,3.37078651685,60.3174603175,1998-01-27,1998-03-31,0.0,2.24719101124,5.61797752809,13.4831460674
105,1998,h,1,185,5,2.7027027027,57.8125,1998-04-01,1998-06-25,0.540540540541,1.93822393822,4.86486486486,9.35135135135
105,1998,h,2,199,8,4.02010050251,67.1875,1998-07-14,1998-09-28,0.502512562814,2.01005025126,4.52261306533,7.68844221106
105,1998,h,3,74,0,0.0,0.0,1998-10-01,1998-12-19,0.0,1.35135135135,4.39189189189,7.16216216216
106,1999,h,0,77,4,5.19480519481,75.5244755245,1999-01-06,1999-03-25,0.0,1.2987012987,3.8961038961,7.79220779221
106,1999,h,1,184,13,7.0652173913,84.7222222222,1999-04-12,1999-06-30,0.54347826087,1.63043478261,4.34782608696,7.60869565217
106,1999,h,2,204,7,3.43137254902,77.7777777778,1999-07-01,1999-09-30,0.0,1.47058823529,2.45098039216,5.88235294118
106,1999,h,3,146,11,7.53424657534,82.6388888889,1999-10-01,1999-11-18,0.684931506849,2.05479452055,4.79452054795,9.58904109589
106,2000,h,0,95,9,9.47368421053,82.6388888889,2000-01-27,2000-03-30,1.05263157895,3.15789473684,7.36842105263,15.4736842105
106,2000,h,1,277,56,20.2166064982,97.2222222222,2000-04-03,2000-06-30,0.361010830325,2.52707581227,4.69314079422,10.0
106,2000,h,2,130,10,7.69230769231,87.5,2000-07-10,2000-09-28,0.0,1.53846153846,3.84615384615,7.69230769231
106,2000,h,3,101,21,20.7920792079,86.1111111111,2000-10-02,2000-12-15,1.9801980198,6.93069306931,11.8811881188,22.4752475248
109,2005,s,0,81,0,0.0,0.0,2005-01-06,2005-03-17,0.0,0.0,1.23456790123,2.46913580247
109,2005,s,1,89,2,2.24719101124,62.2222222222,2005-04-05,2005-06-30,0.0,1.12359550562,2.24719101124,5.61797752809
109,2005,s,2,76,1,1.31578947368,40.0,2005-07-01,2005-09-30,0.0,1.31578947368,3.94736842105,9.47368421053
109,2005,s,3,120,1,0.833333333333,42.2222222222,2005-10-05,2005-12-21,0.0,0.833333333333,3.33333333333,5.83333333333
109,2006,s,0,83,2,2.40963855422,67.3913043478,2006-01-30,2006-03-30,0.0,1.20481927711,2.40963855422,4.81927710843
109,2006,s,1,107,1,0.934579439252,34.7826086957,2006-04-03,2006-06-29,0.0,0.934579439252,2.80373831776,7.94392523364
109,2006,s,2,73,1,1.3698630137,63.0434782609,2006-07-11,2006-09-29,0.0,0.0,1.3698630137,4.1095890411
109,2006,s,3,16,0,0.0,0.0,2006-11-14,2006-12-09,0.0,0.0,0.0,18.75
110,2007,s,0,126,8,6.34920634921,90.9090909091,2007-01-08,2007-03-29,0.0,0.793650793651,2.38095238095,5.2380952381
110,2007,s,1,112,25,22.3214285714,94.6428571429,2007-04-11,2007-06-28,0.0,0.892857142857,2.90178571429,8.03571428571
110,2007,s,2,119,3,2.52100840336,64.2857142857,2007-07-09,2007-09-27,0.63025210084,1.68067226891,2.73109243697,5.46218487395
110,2007,s,3,85,2,2.35294117647,64.2857142857,2007-10-01,2007-12-18,0.0,0.0,2.35294117647,4.70588235294
110,2008,s,0,85,3,3.52941176471,85.9649122807,2008-01-22,2008-03-14,0.0,1.17647058824,2.35294117647,4.0
110,2008,s,1,77,5,6.49350649351,84.2105263158,2008-04-01,2008-06-26,0.0,1.2987012987,3.8961038961,7.01298701299
110,2008,s,2,47,4,8.51063829787,78.9473684211,2008-07-07,2008-09-29,0.0,2.12765957447,6.3829787234,8.51063829787
110,2008,s,3,6,0,0.0,0.0,2008-10-01,2008-12-11,0.0,0.0,0.0,6.66666666667
111,2009,s,0,118,0,0.0,0.0,2009-01-11,2009-03-31,0.0,0.0,0.847457627119,3.53792989962
