congress,session,chamber,period,total_votes,missed_votes,percent,percentile,period_start,period_end,pctile25,pctile50,pctile75,pctile90
112,2012,h,3,50,0,0.0,0.0,2012-11-13,2012-12-31,0.0,1.96078431373,5.88235294118,13.7254901961
112,2012,h,4,5,0,0.0,0.0,2013-01-01,2013-01-01,0.0,0.0,0.0,0.0
113,2013,h,0,89,1,1.12359550562,40.1847575058,2013-01-03,2013-03-21,0.0,1.12359550562,4.49438202247,10.1123595506
lifetime,,h,,144,1,0.694444444444,16.8591224018,2012-11-15,2013-03-21,1.07462686567,2.19576719577,3.97928994083,5.93759867438
